OBJECTID,GRID_ID,pr,Shape__Area,Shape__Length
1,AG-103,1069.233764648,0.0180556126632183,0.550615121740357
2,AE-102,1169.729003906,0.0180870291191866,0.551239779718525
3,AF-102,1142.256347656,0.0180914338948241,0.551302017145762
4,AG-102,1240.228637695,0.0180956654401569,0.551362478211251
5,AF-101,1106.607177734,0.0181318060392357,0.552055255588526
6,AG-101,1227.089355469,0.0181361217362195,0.552116122827697
7,AH-101,1121.718261719,0.0181400715292597,0.552171780621607
8,AO-101,1103.780883789,0.0181625331028954,0.552488634814474
9,AG-100,1041.505493164,0.0181766530950256,0.552872418678741
10,AH-100,1129.773925781,0.0181807628133583,0.552930011428563
11,AI-100,1315.173706055,0.0181848214454874,0.552987366121189
12,AJ-100,1256.387451172,0.0181883750895935,0.553037091609938
13,AK-100,1271.161499023,0.0181918733849358,0.553087116898548
14,AN-100,1266.698852539,0.0182006526660956,0.553210060512853
15,AO-100,1411.245117188,0.0182033648932816,0.553247708175225
16,AP-100,1268.460449219,0.0182058136776391,0.553282585445944
17,AH-99,1045.630859375,0.0182217275775116,0.553693674609884
18,AI-99,1249.419677734,0.0182256639573239,0.553749104877923
19,AJ-99,1413.925170898,0.0182293362486519,0.553800291135336
20,AK-99,1494.834594727,0.0182329336879974,0.553851120310218
21,AL-99,1343.40612793,0.0182361073100736,0.553895500568765
22,AM-99,1354.499023438,0.0182392140874015,0.553939619459115
23,AN-99,1829.204101562,0.0182418797988788,0.553976311777559
24,AO-99,1934.23840332,0.0182445114922984,0.554012884851342
25,AP-99,1193.5703125,0.0182468261733675,0.554045538739152
26,AQ-99,1011.265136719,0.0182486201211276,0.554070151673394
27,AI-98,1053.477905273,0.0182669022054966,0.554517497118996
28,AJ-98,1411.057739258,0.0182705700488555,0.554568662985718
29,AK-98,1602.28125,0.0182740413324893,0.554617010113981
30,AL-98,1320.727050781,0.0182773879441953,0.554664202825752
31,AM-98,1470.32043457,0.0182805214105599,0.554708263327502
32,AN-98,2146.728759766,0.0182832688514054,0.554746254493995
33,AO-98,1817.569458008,0.0182857744029832,0.554781394970301
34,AP-98,1194.790405273,0.0182878764143624,0.554810576651194
35,AQ-98,1000.387145996,0.0182897921664988,0.554836291554929
36,AZ-98,947.016662598,0.0182984061243658,0.554956197237782
37,AJ-97,1340.705322266,0.0183121582540764,0.555343146807202
38,AK-97,1352.526245117,0.0183154859371797,0.555389248645739
39,AL-97,1184.530395508,0.0183188124128861,0.555436317129753
40,AM-97,1294.457275391,0.0183218461217507,0.555479055316953
41,AN-97,1822.678833008,0.0183244767798527,0.555515042030913
42,AO-97,1373.98059082,0.0183270347206985,0.555551057385754
43,AP-97,1061.954345703,0.0183292284315684,0.555580894652482
44,AQ-97,890.46661377,0.018331343164661,0.555609826332986
45,AR-97,922.478515625,0.0183333037118274,0.555637041030933
46,AU-97,924.630004883,0.0183377494093264,0.55569969778051
47,AV-97,970.179260254,0.0183385185295464,0.555709777251261
48,AW-97,1073.635864258,0.0183391716342385,0.555718611422138
49,AX-97,1007.071228027,0.0183397551624793,0.555726483613452
50,AY-97,901.713439941,0.0183401683268301,0.555732348873139
